type,latitude,longitude,direction,mrm,id,jurisdiction,route,description,rtmp_url,ios_url,rtsp_url,image_url,active
Traffic Camera,37.24574,-77.39289,NB,53.4,6d537330-c894-11e7-b10a-0123456789ab,Richmond,I-95,I-95 / MM 53.4 / NB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095NB534,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095NB534/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095NB534,https://images.skyvdn.com/thumbs/RichmondCS095NB534.flv.png,1
Traffic Camera,37.31121,-77.39848,SB,58.3,292c8820-c8f0-11e7-b10a-0123456789ab,Richmond,I-95,I-95 / MM 58.3 / SB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB583,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB583/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095SB583,https://images.skyvdn.com/thumbs/RichmondCS095SB583.flv.png,1
Traffic Camera,37.43973,-77.42883,SB,67.8,0c298031-c8bd-11e7-b10a-0123456789ab,Richmond,I-95,I-95 / MM 67.8 / SB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB678,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB678/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095SB678,https://images.skyvdn.com/thumbs/RichmondCS095SB678.flv.png,1
Traffic Camera,37.38707,-77.41985,SB,63.9,05c66770-cacb-11e7-8fd9-0123456789ab,Richmond,I-95,I-95 / MM 63.9 / SB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB639,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB639/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095SB639,https://images.skyvdn.com/thumbs/RichmondCS095SB639.flv.png,1
Traffic Camera,37.463418,-77.425602,SB,69.5,ab9d5730-cdf0-11e7-a313-0123456789ab,Richmond,I-95,I-95 / MM 69.5 / SB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB695,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB695/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095SB695,https://images.skyvdn.com/thumbs/RichmondCS095SB695.flv.png,1
Traffic Camera,36.7362,-76.2402,SB,13.8,9faf2410-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,VA-168,VA-168 / MM 13.8 / SB / Battlefield Blvd,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream009,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream009/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream009,https://images.skyvdn.com/thumbs/chesapeakestream009.flv.png,1
Traffic Camera,36.7029,-77.5497,SB,11,6688,Hampton Roads,I-95,I-95 / MM 11 / SB / US-58 ,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads887,http://s11.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads887/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/HamptonRoads887,https://images.skyvdn.com/thumbs/HamptonRoads887.flv.png,1
Traffic Camera,37.31455,-80.054719,NB,140,85206,Salem,I-81,I-81  /  MM 140  /  NB  /  I-81 MM 140,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/SalemI81MM140,http://s12.us-east-1.skyvdn.com:1935/rtplive/SalemI81MM140/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/SalemI81MM140,https://images.skyvdn.com/thumbs/SalemI81MM140.flv.png,1
Traffic Camera,37.321083,-80.0366,NB,141.3,85217,Salem,I-81,I-81 / MM 141.3 / NB / I-81 MM 141.3,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/SalemI81MM1413,http://s12.us-east-1.skyvdn.com:1935/rtplive/SalemI81MM1413/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/SalemI81MM1413,https://images.skyvdn.com/thumbs/SalemI81MM1413.flv.png,1
Traffic Camera,37.0995,-80.5395,SB,107,91174,Salem,I-81,I-81  /  MM 107  /  SB  /  I-81 MM 107,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/SalemI81MM107,http://s12.us-east-1.skyvdn.com:1935/rtplive/SalemI81MM107/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/SalemI81MM107,https://images.skyvdn.com/thumbs/SalemI81MM107.flv.png,1
